prefecture,url,depth,parent,status,ctype,kind,title,h1,section,n_out_links,n_pdf_links
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/smartnougyounosuishin/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,スマート農業の推進／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],スマート農業の推進,shigotosangyou/sangyoujouhou,64,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/shuunou/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,就農・援農情報／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],就農・援農情報,shigotosangyou/sangyoujouhou,65,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/seisanshasupport/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,生産者サポート情報／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],生産者サポート情報,shigotosangyou/sangyoujouhou,89,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/yuushi/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,農林漁業者向け制度融資／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],農林漁業者向け制度融資,shigotosangyou/sangyoujouhou,72,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/kokkokoufukin/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,国庫交付金関連事業／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],国庫交付金関連事業,shigotosangyou/sangyoujouhou,60,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/originalbudou/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,大阪オリジナルぶどう／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],大阪オリジナルぶどう,shigotosangyou/sangyoujouhou,64,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/nounishitashimu/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,農に親しむ施設／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],農に親しむ施設,shigotosangyou/sangyoujouhou,65,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/nougyoukouen/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,大阪府立農業公園／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],大阪府立農業公園,shigotosangyou/sangyoujouhou,62,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/noukuukanzukuri/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,おおさか農空間づくりプラットフォーム／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],おおさか農空間づくりプラットフォーム,shigotosangyou/sangyoujouhou,68,0
大阪府,https://www.pref.osaka.lg.jp/shigotosangyou/sangyoujouhou/nouringyou/mamorukatsudou/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,農空間を守る活動状況／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],農空間を守る活動状況,shigotosangyou/sangyoujouhou,62,0
大阪府,https://www.pref.osaka.lg.jp/o120100/nosei_seibi/saigaikiroku/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,農地・農業用施設災害に関する記録室／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],農地・農業用施設災害に関する記録室,o120100/nosei_seibi,60,0
大阪府,https://www.pref.osaka.lg.jp/o120100/nosei_seibi/saigaifukkyuseido/index.html,1,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html,200,text/html,html,農地・農業用施設の災害復旧事業制度／大阪府（おおさかふ）ホームページ [Osaka Prefectural Government],農地・農業用施設の災害復旧事業制度,o120100/nosei_seibi,59,0
